frequency,rebalance_date,next_rebalance,ic_pearson,ic_spearman,n_stocks
weekly,1975-07-25,1975-08-01,0.05935722895986148,0.07134863042357777,1364
weekly,1975-08-01,1975-08-08,0.20372603215116544,0.2068067816523166,1310
weekly,1975-08-08,1975-08-15,0.07768106632483046,0.10956798202849613,1316
weekly,1975-08-15,1975-08-22,0.11508436887670874,0.14747612143249567,1289
weekly,1975-08-22,1975-08-29,-0.03261374847488063,0.008403554945335439,1323
weekly,1975-08-29,1975-09-05,-0.10277059181293478,-0.07848658303267128,1356
weekly,1975-09-05,1975-09-12,-0.039013802879727735,-0.026939773198658864,1309
weekly,1975-09-12,1975-09-19,0.08603832837111278,0.11796597586802897,1307
weekly,1975-09-19,1975-09-26,0.007471211809798883,0.05471930323532598,1351
weekly,1975-09-26,1975-10-03,0.08845122687508085,0.1133395347252093,1295
weekly,1975-10-03,1975-10-10,0.12237551787351345,0.18184345728240134,1296
weekly,1975-10-10,1975-10-17,-0.021033316899886703,0.03269969266113958,1289
weekly,1975-10-17,1975-10-24,0.04846569135894675,0.09784212789572455,1313
weekly,1975-10-24,1975-10-31,-0.023871273610111664,-0.004255667655372956,1328
weekly,1975-10-31,1975-11-07,0.009628158895096706,0.06150904249597259,1310
weekly,1975-11-07,1975-11-14,-0.0717658814679361,-0.0190565715180044,1320
weekly,1975-11-14,1975-11-21,-0.03504373119908597,-0.01737758854209739,1331
weekly,1975-11-21,1975-11-28,0.039857228496795204,0.09467175786290116,1333
weekly,1975-11-28,1975-12-05,-0.05550998000517717,-0.06767140952040346,1332
weekly,1975-12-05,1975-12-12,0.1679475608273481,0.20445049212311292,1314
weekly,1975-12-12,1975-12-19,0.004748519611691062,0.06407704010752938,1295
weekly,1975-12-19,1975-12-26,0.04841896982504613,0.08816853176479046,1327
weekly,1975-12-26,1976-01-02,-0.19122837452186903,-0.16266198420756042,1301
weekly,1976-01-02,1976-01-09,-0.13051652577731745,-0.11106213609303528,1294
weekly,1976-01-09,1976-01-16,-0.07839761078544763,-0.0205299895988216,1398
weekly,1976-01-16,1976-01-23,-0.18494707570617683,-0.14874540704142536,1412
weekly,1976-01-23,1976-01-30,-0.14908623137049423,-0.12005039443781754,1453
weekly,1976-01-30,1976-02-06,-0.18043817760246977,-0.14380122840107365,1441
weekly,1976-02-06,1976-02-13,-0.23070185797807075,-0.21207024155943385,1440
weekly,1976-02-13,1976-02-20,-0.24752326196719499,-0.21854187688803398,1454
weekly,1976-02-20,1976-02-27,0.0038310681765676338,0.04016576950872203,1483
weekly,1976-02-27,1976-03-05,-0.12116245649884419,-0.0860597113220014,1469
